Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 20:00:00,59967.98,60424.25,59715.42,60334.07,2327.74939,2024-09-17 21:59:59.999,139942466.8041343,293360,1185.24309000,71259955.93329860,0
2024-09-17 22:00:00,60334.07,60343.99,60005.31,60313.99,913.90393,2024-09-17 23:59:59.999,55018415.4488974,168233,440.86813000,26541225.26231460,0
2024-09-18 00:00:00,60313.99,60334.0,59854.6,60114.0,1716.77377,2024-09-18 01:59:59.999,103230180.191633,287378,843.94507000,50749809.96498890,0
2024-09-18 02:00:00,60114.0,60769.0,60073.09,60509.99,2275.0673,2024-09-18 03:59:59.999,137656603.5679965,211416,913.61092000,55254434.78286850,0
2024-09-18 04:00:00,60510.0,60689.62,60199.68,60241.07,1025.5254,2024-09-18 05:59:59.999,61975103.5483056,172265,413.10894000,24965684.42771010,0
2024-09-18 06:00:00,60241.07,60541.65,60204.0,60428.01,807.79567,2024-09-18 07:59:59.999,48789187.2343874,143370,396.95314000,23974673.48895750,0
2024-09-18 08:00:00,60428.01,60428.01,59654.77,59654.77,1965.20128,2024-09-18 09:59:59.999,117962150.8381134,213697,840.90089000,50469526.01945940,0
2024-09-18 10:00:00,59654.76,60000.0,59348.88,59846.0,2562.92975,2024-09-18 11:59:59.999,152885777.4281425,280584,1505.51420000,89789765.25947320,0
2024-09-18 12:00:00,59846.0,60160.0,59308.61,59508.5,2749.92404,2024-09-18 13:59:59.999,164350736.2619637,388554,1429.08402000,85421850.65278810,0
2024-09-18 14:00:00,59508.5,59776.0,59320.0,59429.18,2367.98536,2024-09-18 15:59:59.999,140942267.091326,463516,1165.70878000,69394047.65864050,0
2024-09-18 16:00:00,59429.19,60247.69,59174.8,60013.01,2719.53477,2024-09-18 17:59:59.999,162512057.5946414,458447,1459.58298000,87259738.80009880,0
2024-09-18 18:00:00,60013.02,61318.6,59759.84,60057.99,11925.49484,2024-09-18 19:59:59.999,722163366.0480189,1800013,6225.60406000,377167669.51709680,0
2024-09-18 20:00:00,60057.99,60496.95,59473.68,60199.46,2892.09712,2024-09-18 21:59:59.999,173509359.5512426,390727,1367.98007000,82090604.99630290,0
2024-09-18 22:00:00,60199.46,61786.24,60194.0,61759.99,3078.69539,2024-09-18 23:59:59.999,188023707.46500513,357704,1867.60405000,114084973.18270050,0
2024-09-19 00:00:00,61759.98,62589.52,61555.0,62005.99,6201.12185,2024-09-19 01:59:59.999,384967193.7805671,697511,3328.89672000,206714306.81889590,0
2024-09-19 02:00:00,62006.0,62329.0,61799.9,62117.99,2143.17065,2024-09-19 03:59:59.999,133083860.8806167,286824,1084.67544000,67354182.38714320,0
2024-09-19 04:00:00,62117.98,62179.99,61892.1,61990.42,1330.81037,2024-09-19 05:59:59.999,82548844.0512597,162438,671.70105000,41664498.77490050,0
2024-09-19 06:00:00,61990.42,62176.21,61814.0,62093.99,2029.43785,2024-09-19 07:59:59.999,125902033.7035736,218065,1017.98282000,63163001.57074330,0
2024-09-19 08:00:00,62094.0,62349.0,61888.18,62272.01,1573.98545,2024-09-19 09:59:59.999,97769613.9765543,210743,814.16473000,50582209.80565940,0
2024-09-19 10:00:00,62272.01,62727.52,62242.0,62645.44,2111.67684,2024-09-19 11:59:59.999,131958502.5532942,261768,1067.40662000,66707355.16629540,0
2024-09-19 12:00:00,62645.44,63370.5,62582.14,63035.98,5922.56278,2024-09-19 13:59:59.999,372991750.4848092,638509,3080.13615000,193989958.97461010,0
2024-09-19 14:00:00,63035.98,63500.84,62810.68,63154.04,4243.97887,2024-09-19 15:59:59.999,268135676.517938,579347,2281.45703000,144170173.81671290,0
2024-09-19 16:00:00,63154.03,63850.0,62940.0,63709.22,3875.37333,2024-09-19 17:59:59.999,246080665.6901482,601529,2056.25961000,130583847.41782640,0
2024-09-19 18:00:00,63709.22,63776.99,63149.44,63251.99,2179.47117,2024-09-19 19:59:59.999,138399965.9810975,424652,981.91721000,62359263.53685830,0
2024-09-19 20:00:00,63251.99,63254.14,62879.76,62879.76,1320.14553,2024-09-19 21:59:59.999,83276425.0131823,175576,582.60338000,36751643.54360510,0
2024-09-19 22:00:00,62879.76,63086.01,62650.0,62947.99,1400.79139,2024-09-19 23:59:59.999,88061398.5408309,181322,642.42882000,40386982.71144640,0
2024-09-20 00:00:00,62948.0,63184.54,62606.0,63037.99,1839.28153,2024-09-20 01:59:59.999,115620792.4048237,259397,864.46243000,54349776.81339320,0
2024-09-20 02:00:00,63037.99,63750.0,62819.85,63742.16,1782.53537,2024-09-20 03:59:59.999,112741063.8138859,300909,954.97306000,60409913.76844600,0
2024-09-20 04:00:00,63742.15,64133.32,63608.81,63809.99,4162.31721,2024-09-20 05:59:59.999,265883623.73298752,520098,2195.72760000,140258421.95516700,0
2024-09-20 06:00:00,63810.0,63925.32,63390.32,63524.8,2476.03585,2024-09-20 07:59:59.999,157565575.4664629,281285,1181.86218000,75215575.94890130,0
2024-09-20 08:00:00,63524.81,63554.99,63090.43,63468.0,2064.58543,2024-09-20 09:59:59.999,130801215.3086871,226792,793.68835000,50295662.22289730,0
2024-09-20 10:00:00,63468.0,63700.0,63344.0,63440.0,1679.16603,2024-09-20 11:59:59.999,106639763.123789,184310,904.88257000,57474307.32851410,0
2024-09-20 12:00:00,63440.01,63544.37,62676.9,62836.46,2785.23091,2024-09-20 13:59:59.999,175630877.9362928,493427,1269.07391000,80033371.78789950,0
2024-09-20 14:00:00,62836.46,63506.0,62553.9,63153.99,3804.69703,2024-09-20 15:59:59.999,239834936.9395512,702937,1880.77779000,118570478.55620040,0
2024-09-20 16:00:00,63153.99,63282.0,62622.01,62704.0,1611.75606,2024-09-20 17:59:59.999,101370024.8616796,390011,777.91036000,48929604.60795160,0
2024-09-20 18:00:00,62704.01,63030.01,62350.0,62809.13,1781.83895,2024-09-20 19:59:59.999,111791299.2430851,343774,836.05344000,52461345.42609720,0
2024-09-20 20:00:00,62809.13,63300.0,62709.3,63116.03,964.11379,2024-09-20 21:59:59.999,60796407.3298105,187152,513.64008000,32388638.04188330,0
2024-09-20 22:00:00,63116.04,63273.21,63072.0,63201.05,514.81978,2024-09-20 23:59:59.999,32520383.8297491,79204,238.27050000,15053462.35522190,0
2024-09-21 00:00:00,63201.05,63310.37,62832.6,62836.98,1180.54042,2024-09-21 01:59:59.999,74466498.2134335,237359,528.28671000,33334349.90991210,0
2024-09-21 02:00:00,62836.98,63000.0,62816.47,62889.57,460.44922,2024-09-21 03:59:59.999,28969560.3666778,106795,223.48799000,14060360.14645620,0
2024-09-21 04:00:00,62889.58,62946.0,62758.0,62908.82,608.6001,2024-09-21 05:59:59.999,38263914.5290469,95440,260.96315000,16406775.37521700,0
2024-09-21 06:00:00,62908.82,63134.0,62890.0,63091.02,601.38334,2024-09-21 07:59:59.999,37906087.4648096,86861,292.11339000,18411352.32931270,0
2024-09-21 08:00:00,63091.02,63136.0,63000.0,63115.99,612.22765,2024-09-21 09:59:59.999,38611620.5487754,69967,225.41529000,14217633.44821700,0
2024-09-21 10:00:00,63116.0,63118.98,62966.01,63089.77,422.8904,2024-09-21 11:59:59.999,26666932.1396773,63075,186.66234000,11770698.00640670,0
2024-09-21 12:00:00,63089.76,63225.0,63036.92,63188.0,709.36016,2024-09-21 13:59:59.999,44765719.859969,90218,356.76347000,22515501.26005890,0
2024-09-21 14:00:00,63188.0,63306.0,63061.97,63167.98,893.91903,2024-09-21 15:59:59.999,56493276.8557764,124187,403.99898000,25533168.31621210,0
